Class,GivenLength,GivenFirstLetterNumber,GivenFirstLetterVowel,GivenSecondLetterNumber,GivenSecondLetterVowel,SurLength,SurFirstLetterNumber,SurFirstLetterVowel,SurSecondLetterNumber,SurSecondLetterVowel,GivenAndSurLength
LOSER,5,4,FALSE,1,TRUE,3,1,TRUE,8,FALSE,8
WINNER,5,11,FALSE,1,TRUE,3,1,TRUE,12,FALSE,8
WINNER,4,10,FALSE,15,TRUE,8,2,FALSE,1,TRUE,12
LOSER,7,20,FALSE,9,TRUE,6,2,FALSE,1,TRUE,13
LOSER,7,13,FALSE,9,TRUE,6,2,FALSE,1,TRUE,13
WINNER,5,3,FALSE,1,TRUE,7,2,FALSE,18,FALSE,12
WINNER,7,18,FALSE,9,TRUE,7,3,FALSE,1,TRUE,14
WINNER,3,23,FALSE,1,TRUE,6,3,FALSE,8,FALSE,9
WINNER,5,19,FALSE,20,FALSE,5,3,FALSE,8,FALSE,10
LOSER,5,3,FALSE,12,FALSE,7,3,FALSE,15,TRUE,12
WINNER,4,13,FALSE,1,TRUE,6,3,FALSE,18,FALSE,10
LOSER,6,18,FALSE,15,TRUE,5,4,FALSE,1,TRUE,11
WINNER,5,2,FALSE,18,FALSE,8,4,FALSE,1,TRUE,13
WINNER,5,19,FALSE,3,FALSE,7,4,FALSE,5,TRUE,12
WINNER,6,7,FALSE,5,TRUE,6,4,FALSE,5,TRUE,12
WINNER,6,20,FALSE,8,FALSE,10,4,FALSE,9,TRUE,16
LOSER,7,13,FALSE,9,TRUE,7,4,FALSE,15,TRUE,14
WINNER,6,7,FALSE,5,TRUE,7,4,FALSE,18,FALSE,13
WINNER,5,19,FALSE,21,TRUE,7,5,TRUE,16,FALSE,12
LOSER,4,10,FALSE,21,TRUE,8,6,FALSE,18,FALSE,12
WINNER,7,13,FALSE,5,TRUE,5,6,FALSE,21,TRUE,12
WINNER,4,10,FALSE,5,TRUE,8,7,FALSE,1,TRUE,12
LOSER,7,13,FALSE,5,TRUE,8,7,FALSE,5,TRUE,15
LOSER,4,16,FALSE,1,TRUE,8,7,FALSE,15,TRUE,12
LOSER,7,23,FALSE,9,TRUE,6,7,FALSE,18,FALSE,13
LOSER,6,18,FALSE,15,TRUE,5,8,FALSE,15,TRUE,11
LOSER,5,11,FALSE,12,FALSE,6,10,FALSE,1,TRUE,11
WINNER,6,7,FALSE,5,TRUE,4,10,FALSE,15,TRUE,10
WINNER,7,13,FALSE,9,TRUE,6,10,FALSE,15,TRUE,13
LOSER,6,12,FALSE,5,TRUE,9,11,FALSE,1,TRUE,15
WINNER,6,20,FALSE,8,FALSE,8,11,FALSE,1,TRUE,14
WINNER,6,4,FALSE,5,TRUE,6,11,FALSE,9,TRUE,12
WINNER,3,23,FALSE,5,TRUE,3,12,FALSE,5,TRUE,6
LOSER,4,13,FALSE,1,TRUE,3,12,FALSE,5,TRUE,7
WINNER,7,3,FALSE,8,FALSE,4,12,FALSE,9,TRUE,11
LOSER,5,2,FALSE,18,FALSE,9,13,FALSE,1,TRUE,14
WINNER,2,10,FALSE,-50,FALSE,7,13,FALSE,1,TRUE,9
WINNER,2,18,FALSE,-50,FALSE,8,13,FALSE,3,FALSE,10
LOSER,2,12,FALSE,-50,FALSE,7,13,FALSE,3,FALSE,9
LOSER,7,13,FALSE,9,TRUE,7,13,FALSE,5,TRUE,14
WINNER,9,1,TRUE,12,FALSE,7,13,FALSE,5,TRUE,16
WINNER,3,20,FALSE,15,TRUE,8,13,FALSE,9,TRUE,11
WINNER,6,1,TRUE,14,FALSE,5,13,FALSE,15,TRUE,11
LOSER,7,16,FALSE,1,TRUE,6,13,FALSE,21,TRUE,13
WINNER,8,19,FALSE,18,FALSE,6,13,FALSE,21,TRUE,14
WINNER,6,1,TRUE,14,FALSE,2,14,FALSE,7,FALSE,8
WINNER,6,19,FALSE,20,FALSE,6,14,FALSE,15,TRUE,12
WINNER,5,4,FALSE,1,TRUE,5,15,TRUE,16,FALSE,10
WINNER,5,2,FALSE,1,TRUE,11,16,FALSE,5,TRUE,16
LOSER,6,12,FALSE,15,TRUE,5,16,FALSE,18,FALSE,11
WINNER,6,6,FALSE,15,TRUE,7,16,FALSE,18,FALSE,13
LOSER,6,2,FALSE,8,FALSE,3,18,FALSE,1,TRUE,9
WINNER,8,16,FALSE,1,TRUE,6,18,FALSE,9,TRUE,14
WINNER,6,18,FALSE,15,TRUE,6,18,FALSE,9,TRUE,12
WINNER,6,18,FALSE,15,TRUE,4,18,FALSE,15,TRUE,10
